"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"6890","Madhya Pradesh","Construction of culverts and bridges","WS/MP18375/2025-2026/187758","SEHORE(DISTRICT COLLECTOR SEHORE_IDA)","SHIVRAJ SINGH CHOUHAN","VIDISHA","19-May-2026","jahangirpura","Payment Success","625000"
"6891","Assam","Development of playfields and sports grounds","WS/MP18021/2025-2026/205620","DHUBRI(DEPUTY COMMISSIONER DHUBRI_IDA)","RAKIBUL HUSSAIN","DHUBRI","22-Jun-2026","Radheshyam Singh","Payment Success","249920"
"6892","Rajasthan","Construction of water tanks","WS/MP18167/2025-2026/196277","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","RAO CONSTRUCTION CO","Payment Success","241300"
"6893","Himachal Pradesh","Development of playfields and sports grounds","WS/MP18069/2025-2026/211752","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","06-Jul-2026","GP MARHOON","Payment Success","185028"
"6894","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18070/2025-2026/243300","POONCH(Deputy Commissioner Poonch_IDA)","MIAN ALTAF AHMAD","ANANTNAG","13-Jul-2026","JAVID IQBAL","Payment Success","294000"
"6895","Tamil Nadu","Lighting of public spaces","WS/MP18176/2025-2026/260818","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","SACHITHANANTHAM R","DINDIGUL","25-May-2026","LS ENTERPRISES","Payment Success","498204"
"6896","Tripura","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18197/2026-2027/262127","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","BIPLAB KUMAR DEB","TRIPURA WEST","06-Jul-2026","Sree maa Motors","Payment Success","118408"
"6897","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","ajay","Payment Success","8500"
"6898","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","lokendra kumar","Payment Success","8500"
"6899","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","pawan","Payment Success","8500"
"6900","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","sandeep kumar","Payment Success","8500"
"6901","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","vijay singh","Payment Success","9350"
"6902","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","santra devi","Payment Success","3420"
"6903","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","reshma devi","Payment Success","3420"
"6904","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","narendra kumar","Payment Success","3420"
"6905","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","archana","Payment Success","3420"
"6906","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2025-2026/262156","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","11-May-2026","subhash","Payment Success","3135"
"6907","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2025-2026/247098","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","14-May-2026","Shivkripa Construction","Payment Success","450000"
"6908","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2025-2026/247097","Didwana-Kuchaman(DISTRICT COLLECTOR Didwana Kuchaman_IDA)","Shri Hanuman Beniwal","NAGAUR","14-May-2026","Shivkripa Construction","Payment Success","240000"
"6909","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170255","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","18-Jun-2026","MAA SANTOSHI TRADERS","Payment Success","149451"
"6910","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/251516","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","11-May-2026","METRO ENTERPRISES","Payment Success","199656"
"6911","Haryana","Construction of community centers and community halls","WS/MP18065/2025-2026/218316","ROHTAK(DEPUTY COMMISSIONER ROHTAK_IDA)","DEEPENDER SINGH HOODA","ROHTAK","12-May-2026","THE BABA SITARAM CO OP L AND C SOCIETY","Payment Success","933487"
"6912","Punjab","Development of playfields and sports grounds","WS/MP380/2025-2026/213877","FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","12-May-2026","SATINDERPAL SINGH","Payment Success","30376"
"6913","Punjab","Purchase of immovable sports equipment","WS/MP18154/2025-2026/250965","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","09-May-2026","Satnam Singh","Payment Success","28920"
"6914","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170255","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","18-Jun-2026","MS SUPRIYA CONSTRUCTION","Payment Success","127360"
